nom,vi
道翰林院學士行海西道宣政使司參知兼秘書監學士武永禎讀卷擢楊如珠等八名爲進士阮仁?等十九名為同進士三年一科自此始二十六日唱進士楊如珠等名頒恩命禮步捧黄榜揭於東化門外,đạo hàn lâm viện học sĩ hành hải tây đạo tuyên chính sứ ti tham tri kiêm bí thư giám học sĩ vũ vĩnh trinh độc quyển trạc dương như châu đẳng bát danh vi tiến sĩ nguyễn nhân thiếp đẳng thập cửu danh vi đồng tiến sĩ tam niên nhất khoa tự thử thuỷ nhị thập lục nhật sướng tiến sĩ dương như châu đẳng danh ban ân mệnh lễ bộ bổng hoàng bảng yết ư đông hoa môn ngoại
或姑息以為䏻或擊搏以招謗,hoặc cô tức dĩ vi năng hoặc kích bác dĩ chiêu báng
朕髙帝側室之子也棄外奉藩于代道理遼遠壅󰰿撲愚未嘗𦤶書,trẫm cao đế trắc thất chi tử dã khí ngoại phụng phiên vu đại đạo lí liêu viễn ung tế phốc ngu vị thường trí thư
侵侵典𠃅圍花貝娘,xăm xăm đến mé vi hoa với nàng
固󰠲偏爲㝵芇,có đâu thiên vị người nào
嚴禁拒斥銅錢,nghiêm cấm cự xích đồng tiền
埮棱𨀈湿𨀈高駭雄,dặm rừng bước thấp bước cao hãi hùng
兖豫四萬人赴之,duyện dự tứ vạn nhân phó chi
春正月旱,xuân chính nguyệt hạn
故一時豪傑莫不推服,cố nhất thời hào kiệt mạc bất thôi phục
九月十一日勑旨各衛門吏擅回家徒犒丁充軍本衙門該官擅𭁈罸錢十貫,cửu nguyệt thập nhất nhật sắc chỉ các vệ môn lại thiện hồi gia đồ khao đinh sung quân bản nha môn cai quan thiện dữ phạt tiền thập quán
再生渚𢴑香誓,tái sinh chưa dứt hương thề
臣臨事变亂䏻死節義事逆賊,thần lâm sự biến loạn năng tử tiết nghĩa sự nghịch tặc
時帝聽英武獄配英武杲田兒,thời đế thính anh vũ ngục phối anh vũ cảo điền nhi
弘文曰吾仗節三世常欲投軀帝庭况被徵乎,hoằng văn viết ngô trượng tiết tam thế thường dục đầu khu đế đình huống bị trưng hồ
先皇帝第二子濬賢明仁孝可嗣正統以承祖宗以撫臣民,tiên hoàng đế đệ nhị tử tuấn hiền minh nhân hiếu khả tự chính thống dĩ thừa tổ tông dĩ phủ thần dân
謂鞭场不及馬腹謂風末不舉鴻毛,vị tiên trường bất cập mã phục vị phong mạt bất cử hồng mao
㗂 埃 窖 達 仍 𠳒 𧊉 螉,tiếng ai khéo đặt những lời bướm ông
帝令諸将渡何出其不意奪隄築壘一夜而成盡爲所有,đế lệnh chư tướng độ hà xuất kì bất ý đoạt đê trúc luỹ nhất dạ nhi thành tận vi sở hữu
旨揮大臣文武百官等略曰汝諸人不復,chỉ huy đại thần văn võ bách quan đẳng lược viết nhữ chư nhân bất phục
觀其所為者登庸不過黎朝之一大臣也當黎朝主弱臣強,quan kì sở vi giả đăng dung bất quá lê triều chi nhất đại thần dã đương lê triều chủ nhược thần cường
𩄲湄打覩𥒥鐄,mây mưa đánh đổ đá vàng
戈 低 因 便 制 𠳨,qua đây nhân tiện chơi hỏi
申明常朝衣服,thân minh thường triều y phục
𢚷妯𦋦胣世常,giận dầu ra dạ thế thường
拱垣指示聲轉大而從教聲反低朝中但聞拱垣聲,củng viên chỉ thị thanh chuyển đại nhi tòng giáo thanh phản đê triều trung đản văn củng viên thanh
象忽脱突入将簦殿,tượng hốt thoát đột nhập tương đăng điện
傍徨󰇾醒󰇾醝,bàng hoàng dở tỉnh dở say
秋七月閲定文武以内書火正掌奉御謝不矜為入内行遣行左司郎中,thu thất nguyệt duyệt định văn võ dĩ nội thư hoả chính chưởng phụng ngự tạ bất căng vi nhập nội hành khiển hành tả ti lang trung
才尼色意𠦳鐄渚斤,tài này sắc ấy nghìn vàng chưa cân
定六部職掌事例,định lục bộ chức chưởng sự lệ
三月命太保鎮郡公鄭林率属将禄郡公缺名會郡公鄭榜等往伐武崖僞黨,tam nguyệt mệnh thái bảo trấn quận công trịnh lâm suất thuộc tướng lộc quận công khuyết danh hội quận công trịnh bảng đẳng vãng phạt vũ nhai nguỵ đảng
祭官在左立主祭在右不奠酒婦人隔帷舉哀,tế quan tại tả lập chủ tế tại hữu bất điện tửu phụ nhân cách duy cử ai
時莫聞太師乘勝乃遁還京,thời mạc văn thái sư thừa thắng nãi độn hoàn kinh
󰜋間渃碧𩄲鐄𢺺堆,một gian nước biếc mây vàng chia đôi
若咱左右之人考掠臣家人病痛必生異辝則臣身恐不能保願陛下思之,nhược thính tả hữu chi nhân khảo lược thần gia nhân bệnh thống tất sinh dị từ tắc thần thân khủng bất năng bảo nguyện bệ hạ tư chi
步行𠬠屡蹺連𠬠欺,bộ hành một lũ theo liền một khi
鳥路桑園中古佛湧,điểu lộ tang viên trung cổ phật dũng
𤑟𤉜实侶堆些,rõ ràng thật lứa đôi ta
遂使宣德之狡童黷兵無厭乃命𣆭昇之懦将以油救焚,toại sử tuyên đức chi giảo đồng độc binh vô yếm nãi mệnh thạnh thăng chi nhu tướng dĩ du cứu phần
㝵𡢐拱併森𡆫買饒,ngày sau cũng tính sum vầy với nhau
戊辰十一年莫崇康三年明隆󰆑二年春莫開會試科,mậu thìn thập nhất niên mạc sùng khang tam niên minh long khánh nhị niên xuân mạc khai hội thí khoa
娘浪曠永𣎀長,nàng rằng khoảng vắng đêm trường
乃詫之約日速調諸城人兵一時俱會東官城尽許㱕國,nãi sá chi ước nhật tốc điều chư thành nhân binh nhất thời cụ hội đông quan thành tận hứa quy quốc
王𪪳梗席賤行迻蹺,vương ông gánh tiệc tiễn hành đưa theo
寛 台 𠳒 意 沛 庒 勾 尼,khoan thai lời ấy phải chăng câu này
髙 明 吀 𤍊 畑 𡗶,cao minh xin tỏ đèn trời
泰盤之勢從此益固矣,thái bàn chi thế tòng thử ích cố hĩ
于以開萬世太平之基于以雪千古無󰠃之耻是由天地祖,vu dĩ khai vạn thế thái bình chi cơ vu dĩ tuyết thiên cổ vô cùng chi sỉ thị do thiên địa tổ
秋八月惇慈皇太后黎氏崩〇,thu bát nguyệt đôn từ hoàng thái hậu lê thị băng 
姉妯㛪伴固󰦓𥐧饒,chị dâu em bạn có đâu lỗi nhiều
右本紀附莫僣起自丁亥莫登庸僣位紀元明德元年傳五世至壬辰洪寕三年莫茂洽被俘,hữu bản kỷ phụ mạc tiếm khởi tự đinh hợi mạc đăng dung tiếm vị kỷ nguyên minh đức nguyên niên truyền ngũ thế chí nhâm thìn hồng ninh tam niên mạc mậu hợp bị phu
帝再命安和侯阮弘裕徃討之,đế tái mệnh an hoà hầu nguyễn hoằng dụ vãng thảo chi
皮外噠噠呐唭,bề ngoài thơn thớt nói cười
㗂嬌同望䏾襜𢠩恾,tiếng kiều đồng vọng bóng xiêm mơ màng
習罷各分爲五番一番留四番歸農,tập bãi các phân vi ngũ phiên nhất phiên lưu tứ phiên quy nông
賊溺死者甚眾退㨿南河,tặc nịch tử giả thậm chúng thoái cứ nam hà
盘碁,bàn cờ
詔憲誠𤤻師自是占城執藩臣禮奉貢不鈌,chiếu hiến thành ban sư tự thị chiêm thành chấp phiên thần lễ phụng cống bất khuyết
哭嘆坤掣事情,khóc than khôn xiết sự tình
爵忠良侯以頼世羙爲󰆑郡公阮師尹爲莅郡公王珍爲山郡公使各領本部兵前進,tước trung lương hầu dĩ lại thế mĩ vi khánh quận công nguyễn sư doãn vi li quận công vương trân vi sơn quận công sử các lĩnh bản bộ binh tiền tiến
郑歆沛󰠩𠽆屍,trịnh hâm phải cá nuốt thây
𥙩 陳 廣 珥 𫷜 空 庄,lấy trần quảng nhĩ năm không chăng
十一日明遣正使行人司行人劉秩來諭祭于仁宗,thập nhất nhật minh khiển chánh sứ hành nhân ti hành nhân lưu chật lai dụ tế vu nhân tông
三月饒阮師回死罪,tam nguyệt nhiêu nguyễn sư hồi tử tội
然而惠宗惠后卒依嗣慶以爲安則其罪釋矣,nhiên nhi huệ tông huệ hậu tốt y tự khánh dĩ vi an tắc kì tội thích hĩ
𤑟牟冲玉𤽸牙,rõ màu trong ngọc trắng ngà
噲𪜀,gọi là
本年五六月間農務正殷天既作旱熯耕農觖望,bản niên ngũ lục nguyệt gian nông vụ chính ân thiên ký tác hạn hán canh nông quyết vọng
戊寅七年宋元符元年,mậu dần thất niên tống nguyên phù nguyên niên
當此之時我家臣主就縛甚可痛哉,đương thử chi thời ngã gia thần chủ tựu phước thậm khả thống tai
前代故事正六品以上方得著舄〇,tiền đại cố sự chính lục phẩm dĩ thượng phương đắc trước tả 
󰏙𥪞歐厭固朝𣳮淶,xem trong âu yếm có chiều lả lơi
奉㫖考編特進金紫榮禄大夫參從刑部尙書知中書監萊山子臣黎僖,phụng chỉ khảo biên đặc tiến kim tử vinh lộc đại phu tham tụng hình bộ thượng thư tri trung thư giám lai sơn tử thần lê hi
呐𡀯,nói chuyện
𠫾蹎,đi chân
埝昌別改死生准芇,nắm xương biết gửi tử sinh chốn nào
先帝素知臣樸,tiên đế tố tri thần phác
所有訓條開列于左一人臣事君宜咸懷忠良恪居官職國尔忘家公尔忘私同寅恊恭直言極諫不可阿䛕取容竊祿倖位私受干謁賣爵鬻獄以𦤶妨害治道,sở hữu huấn điều khai liệt vu tả nhất nhân thần sự quân nghi hàm hoài trung lương khác cư quan chức quốc nhĩ vong gia công nhĩ vong tư đồng dần hiệp cung trực ngôn cực gián bất khả a dua thủ dung thiết lộc hạnh vị tư thụ can yết mại tước chúc ngục dĩ trí phương hại trị đạo
莫氏宗室及餘黨前避山林者至是𭁈茂洽長子缺名,mạc thị tông thất cập dư đảng tiền tị sơn lâm giả chí thị dữ mậu hợp trưởng tử khuyết danh
諸将皆曰明公所命敢不遵承,chư tướng giai viết minh công sở mệnh cảm bất tuân thừa
自是以爲常式〇,tự thị dĩ vi thường thức 
斈屬𢚸,học thuộc lòng
院監察御史等官朝班並如前例,viện giám sát ngự sử đẳng quan triều ban tịnh như tiền lệ
扲 朋 爫 漫 漫 空 功,cầm bằng làm mướn mướn không công
聖宗恤民重農柔遠䏻迩置博𭓇之科重養廉之令秘閣之有其官明倫之有其制文脩武僃海内謐寕爲嗣德之賢君也,thánh tông tuất dân trọng nông nhu viễn năng nhĩ trí bác học chi khoa trọng dưỡng liêm chi lệnh bí các chi hữu kì quan minh luân chi hữu kì chế văn tu vũ bị hải nội mật ninh vi tự đức chi hiền quân dã
謀高本㐌󰡥伶仍𣈜,mưu cao vốn đã rắp ranh những ngày
掛將軍印如或失機驛聞行在參副為令檻送御營衛總以下斬首無,quải tướng quân ấn như hoặc thất cơ dịch văn hành tại tham phó vi lệnh hạm tống ngự dinh vệ tổng dĩ hạ trảm thủ vô
〇卷之四,quyển chi tứ
八月帝幸瓊雲殿尉勞莫登庸及諸将士往京北諒源地,bát nguyệt đế hạnh quỳnh vân điện uý lạo mạc đăng dung cập chư tướng sĩ vãng kinh bắc lạng nguyên địa
算,toán
󰇥圖鐘磬袩戈,giở đồ chuông khánh xem qua
時莊定大王𩖀為太尉黎季犛同平章事知審刑院黎亞夫既遣𩖀去黎季犛椅不許同坐,thời trang định đại vương ngạc vi thái uý lê quý li đồng bình chương sự tri thẩm hình viện lê á phu ký khiến ngạc khứ lê quý li kỷ bất hứa đồng toạ
𠁑旗󰜋令倍傍𨇒牢,dưới cờ một lệnh vội vàng ruổi sao
扒,bắt
乃與其弗將卒攻王遂弑王與太后盡殺漢使者遣人吿蒼梧秦王及諸郡邑立明王長子術陽侯建德為王,nãi dữ kì phất tương tốt công vương toại thích vương dữ thái hậu tận sát hán sứ giả khiển nhân cáo thương ngô tần vương cập chư quận ấp lập minh vương trưởng tử thuật dương hầu kiến đức vi vương
没漨如体核󰔂梗瑤,một vùng như thể cây quỳnh cành dao
咹 制 朱 妥 塵 買,ăn chơi cho thoả trần mấy
价眜,giá mắt
甲戌帝幸籃京太后諸王皆從行,giáp tuất đế hạnh lam kinh thái hậu chư vương giai tòng hành
禮部官捧黄榜皷樂導引出東華門外掛張,lễ bộ quan bổng hoàng bảng cổ nhạc đạo dẫn xuất đông hoa môn ngoại quải trương
客 塵 𠇍 几 别 尼 開 塘,khách trần mấy kẻ biết nơi khai đường
琴 𢝙 調 瑟 迢 逸 𦀊,cầm vui điệu sắt giù giặt dây
𥪝娘㗂䳽𠖤戈,trong như tiếng hạc bay qua
秀󰜏速𬆅旦尼,tú bà tốc thẳng đến nơi
至是命李常傑擊破之制麻那復納其地,chí thị mệnh lí thường kiệt kích phá chi chế ma na phục nạp kì địa
又置都督都護都統總𬋩府太守司以轄之,hựu trí đô đốc đô hộ đô thống tổng quản phủ thái thú ti dĩ hạt chi
世芇娘共沛𦖑,thế nào nàng cũng phải nghe
五月太尉莊定大王𩖀出亡南定庄,ngũ nguyệt thái uý trang định đại vương ngạc xuất vong nam định trang
其武将當折衝禦侮以衛國家如䏻嚴明約束用命效力以成事功則隨功次等第論賞,kì vũ tướng đương chiết xung ngự vũ dĩ vệ quốc gia như năng nghiêm minh ước thúc dụng mệnh hiệu lực dĩ thành sự công tắc tuỳ công thứ đẳng đệ luận thưởng
宋帝意在撫寕不欲用兵置之不問,tống đế ý tại phủ ninh bất dục dụng binh trí chi bất vấn
戰佯爲不勝而走,chiến dương vi bất thắng nhi tẩu
明帝笑曰汝主雖非莫氏之比然以初復國恐人心未定方且受之後以王爵加之未為晚也,minh đế tiếu viết nhữ chủ tuy phi mạc thị chi bỉ nhiên dĩ sơ phục quốc khủng nhân tâm vị định phương thả thụ chi hậu dĩ vương tước gia chi vị vi vãn dã
以國姊長公主嫁化州人胡貝𢪒爲司圖仍命出清化禦賊,dĩ quốc tỉ trưởng công chúa giá hoá châu nhân hồ bối bái vi tư đồ những mệnh xuất thanh hoá ngự tặc 
供娥彩女綏𡢐,cung nga thể nữ nối sau
督軍築堤岸决滆渠以防水旱〇,đốc quân trúc đê ngạn quyết cách cừ dĩ phòng thuỷ hạn 
𡄎機會遇㐌停𣋚󰅒,ngẫm cơ hội ngộ đã dành hôm nay
世傳常傑沿江築柵固守一夜軍士忽於張將軍祠中聞髙聲曰南國山河南帝居截然分定在天書,thế truyền thường kiệt duyên giang trúc sách cố thủ nhất dạ quân sĩ hốt ư trương tướng quân từ trung văn cao thanh viết nam quốc sơn hà nam đế cư tiệt nhiên phận định tại thiên thư
𠎪 如 洛 𥊛,lũ như nhác trông
𢴑𠳒娘倍拔𠫾,dứt lời nàng vội gạt đi
春二月阮國使宋回上言臣到宋國見庭中有銅匭以受四方章奏臣請倣而行之以達下情帝從之置匭于庭令有言事裁書投其中時有暗投匿名書言英武作亂搜之,xuân nhị nguyệt nguyễn quốc sứ tống hồi thượng ngôn thần đáo tống quốc kiến đình trung hữu đồng quỹ dĩ thụ tứ phương chương tấu thần thỉnh phỏng nhi hành chi dĩ đạt hạ tình đế tòng chi trí quỹ vu đình lệnh hữu ngôn sự tài thư đầu kì trung thời hữu ám đầu nặc danh thư ngôn anh vũ tác loạn sưu chi
髙宗以荒滛爲樂,cao tông dĩ hoang dâm vi lạc 
嵬匕𠬠𬌓𢚸崙,ngôi ngôi một tấm lòng son
帝幼時伯兄保養故帝愛石踰於其子,đế ấu thời bá huynh bảo dưỡng cố đế ái thạch du ư kì tử
見今設立布政司授閣下以髙爵者給陳氏廟洗掃人,kiến kim thiết lập bố chính ti thụ các hạ dĩ cao tước giả cấp trần thị miếu tẩy tảo nhân
太宗不從黷武窮兵其於必得,thái tông bất tòng độc vũ cùng binh kì ư tất đắc
為天南招討都元帥二十七日入㨿安謨耽溪山攻破附近社民所至人皆向服月餘眾得萬餘人,vi thiên nam chiêu thảo đô nguyên soái nhị thập thất nhật nhập cứ yên mô đam khê sơn công phá phụ cận xã dân sở chí nhân giai hướng phục nguyệt dư chúng đắc vạn dư nhân
府,phủ
卒使翻成光紹統元之禍逼脅人心天帝于荒丘奪取黎朝天下僣稱位號居于黄屋絞僞多端,tốt sử phiên thành quang thiệu thống nguyên chi hoạ bức hiếp nhân tâm thiên đế vu hoang khâu đoạt thủ lê triều thiên hạ tiếm xưng vị hiệu cư vu hoàng ốc giảo nguỵ đa đoan
吏強洳羕𤵺形,lại càng dơ dáng dại hình
皈師皈𫢋修行闭𥹰,qui sư qui phật tu hành bấy lâu
浽恩渚呂浽情吏芒,nỗi ân chưa trả nỗi tình lại mang
時主少國危諸將自相䧺長互生嫌隙,thời chủ thiếu quốc nguy chư tướng tự tương hùng trưởng hỗ sinh hiềm khích
冷溝之血杵漂江水爲之嗚咽丹舍之屍山積也草爲之殷紅赤也两路救兵既不旋踵而俱敗各城窮㓂亦相觧甲以出降,lãnh câu chi huyết xử phiêu giang thuỷ vi chi ô yết đan xá chi thi sơn tích dã thảo vi chi ân hồng xích dã lưỡng lộ cứu binh ký bất tuyền chủng nhi cụ bại các thành cùng khấu diệc tương giải giáp dĩ xuất hàng
固 才 𫳵 監 𢚁 才 世 油,có tài sao dám cậy tài thế du
聖宗淳皇帝創立法制開萬世文明之治,thánh tông thuần hoàng đế sáng lập pháp chế khai vạn thế văn minh chi trị
事不濟而死則謂死節之神,sự bất tế nhi tử tắc vị tử tiết chi thần
帝及諸将議令各縣沿河軍人預徒財畜入山林避居以防賊兵,đế cập chư tướng nghị lệnh các huyện duyên hà quân nhân dự đồ tài súc nhập sơn lâm tị cư dĩ phòng tặc binh
取𠫾率𧡊應連占包,nhắp đi thoắt thấy ứng liền chiêm bao
我軍攻之四十餘日囊土傳城而登城,ngã quân công chi tứ thập dư nhật nang thổ truyền thành nhi đăng thành
仙󰑼赧那待信,những là nấn ná đợi tin
丙辰三年明英宗正統元年春正月議遣審刑院使兼禮部尙書陶公僎内密院副使阮叔惠如明求封,bính thìn tam niên minh anh tông chính thống nguyên niên  xuân chính nguyệt nghị khiển thẩm hình viện sứ kiêm lễ bộ thượng thư đào công soạn nội mật viện phó sứ nguyễn thúc huệ như minh cầu phong
地點,địa điểm
今日遭變乃知奉曉之忠勇過敬德遠矣,kim nhật tao biến nãi tri phụng hiểu chi trung dũng quá kính đức viễn hĩ
後設礮,hậu thiết bác
風塵𠹾㐌𠵱痆,phong trần chịu đã ê chề
初帝即位上仁宗之尊號稱宣慈之徽號,sơ đế tức vị thượng nhân tông chi tôn hiệu xưng tuyên từ chi huy hiệu
芇󰑼家法怒𠖤,nào là gia pháp nọ bay
大越史記外紀全書卷之四終,đại việt sử ký ngoại kỷ toàn thư quyển chi tứ chung
翁爐䏾胣妑𪹣𩈘眉,ông lô bụng dạ bà hơ mặt mày
丿兜㐌細隣家,phút đâu đã tới lân gia
上則負社則卵翼之恩下則墮祖宗箕裘之業,thượng tắc phụ xã tắc noãn dực chi ân hạ tắc đoạ tổ tông ki cầu chi nghiệp
已也,dĩ dã
𠊛尼𥘀刼寃家,người này nặng kiếp oan gia
秋九月明初征雲南,thu cửu nguyệt minh sơ chinh vân nam
使者曰乃黎大行朝太尉也,sứ giả viết nãi lê đại hành triều thái uý dã
赤旗下隊白旗每衛主將大旗一靣,xích kì hạ đội bạch kì mỗi vệ chủ tướng đại kì nhất diện
在任二十五年恩威宣著,tại nhiệm nhị thập ngũ niên ân uy tuyên trứ
打悁𤾓陣飭餘𰿘𠊛,đánh quen trăm trận sức dư muôn người
経史,kinh sử
又為戦舡使畫工畫徒命女史棵身把棹於西湖帝與之遊以為大樂,hựu vi chiến hang sứ hoạ công hoạ đồ mệnh nữ sử khoả thân bả trạo ư tây hồ đế dữ chi du dĩ vi đại lạc
百姓以之騷亂九廟以之震驚固宜報國靡身贖賣國戕民之罪顧乃貪生畏死為事讐從僞之人,bách tính dĩ chi tao loạn cửu miếu dĩ chi chấn kinh cố nghi báo quốc mi thân thục mại quốc tường dân chi tội cố nãi tham sinh uý tử vi sự thù tòng nguỵ chi nhân
𩈘 𡗶 埃 𥙩 爫 金 烏,mặt trời ai lấy làm kim ô
帝乃退兵屯洛水設伏以待之,đế nãi thoái binh đồn lạc thuỷ thiết phục dĩ đãi chi
浽翁勿巴浽娘咀嘆,nỗi ông vật vã nỗi nàng thở than
興立丁朝皇太后楊氏爲大勝明皇后,hưng lập đinh triều hoàng thái hậu dương thị vi đại thắng minh hoàng hậu
青龍,thanh long
賜文俊爵荗郡公,tứ văn tuấn tước mậu quận công
總兵布按二司乞且停,tổng binh bố án nhị ti khất thả đình
舌𢚸欺扵𤴬𢚸欺𠫾,thiệt lòng khi ở đau lòng khi đi
旬𡢐俸𧡊𠄩𠊛,tuần sau bỗng thấy hai người
浽沉拱默六芇𰦫埋,phù trầm cũng mặc lúc nào rủi may
𡗶撑涓貝𦟐紅打㭴,trời xanh quen với má hồng đánh ghen
故服用習北俗慶餘閲諸庄軍令曰雲屯鎮軍所以防遏胡,cố phục dụng tập bắc tục khánh dư duyệt chư trang quân lệnh viết vân đồn trấn quân sở dĩ phòng át hồ
定文武官職品爵,định văn vũ quan chức phẩm tước
觀 音 傳 意 欺 𫢩,quan âm chuyện ấy khi nay
靈德弟元耀欲為靈德報仇率眾降賊〇,linh đức đệ nguyên diệu dục vi linh đức báo cừu suất chúng hàng tặc 
小姐沛𣇜買𧗱寧家,tiểu thư phải buổi mới về ninh gia
故事凡有罪者削去族姓以為名稱之,cố sự phàm hữu tội giả tước khứ tộc tính dĩ vi danh xưng chi
𮗓緣倍㐌𠳚𠳒辞󰆕,giác duyên vội đã gởi lời từ qui
百官于庭下羅拜内外呼萬歲聲振朝中,bách quan vu đình hạ la bái nội ngoại hô vạn tuế thanh chấn triều trung
󰜋命娘𦰟畑𣌉,một mình nàng ngọn đèn khuya
朕每思之事非得已其以金日朕自将討之,trẫm mỗi tư chi sự phi đắc dĩ kì dĩ kim nhật trẫm tự tương thảo chi
及和之伐林邑慤自奮請從軍,cập hoà chi phạt lâm ấp xác tự phấn thỉnh tòng quân
莫使西道将莫玉󱗲領兵出寕山以攻于左又使南道将阮倦領兵出彰德渡由醴江以攻于右,mạc sử tây đạo tướng mạc ngọc liễn lĩnh binh xuất ninh sơn dĩ công vu tả hựu sử nam đạo tướng nguyễn quyện lĩnh binh xuất chương đức độ do lễ giang dĩ công vu hữu
堛 它 巨 文 章,bậc đà cự văn chương
枚𡢐於𫽄如𠳒,mai sau ở chẳng như lời
嗚呼禮莫大於分分莫大於名名分者國之隄防不可不謹,ô hô lễ mạc đại ư phận phận mạc đại ư danh danh phận giả quốc chi đê phòng bất khả bất cẩn
冬十月帝御天靈殿大閲六兵定等級,đông thập nguyệt đế ngự thiên linh điện đại duyệt lục binh định đẳng cấp
至是又論云尔之氣岸大剛勑厲内荏,chí thị hựu luận vân nhĩ chi khí ngạn đại cương sắc lệ nội nhẫm
太尉楊英耳献白六,thái uý dương anh nhĩ hiến bạch lộc
後尊太宗近至五十字盖效尤乎此,hậu tôn thái tông cận chí ngũ thập tự cái hiệu vưu hồ thử
冬十一月命朝臣分行各處問民疾苦,đông thập nhất nguyệt mệnh triều thần phân hành các xứ vấn dân tật khổ
會取一般老病,hội thủ nhất ban lão bệnh
吏 添 特 𠬠 䋲,lại thêm được một thằng
試吏員考暗寫,thí lại viên khảo ám tả
