nom,vi
潘 陳 傳 意 䀡 戈, ầ ệ ấ  
几 簮 𠊚 𦑗 乙 堆,ẻ â ườ ạ ắ đô
翁 寧 傳 意 此 𥋳,ô  ệ ấ ử 
揲 安 𦊚 𡎝 麻 𡗶 𡊰 功,ẹ ê ố õ à ờ đề ô
秦 宮 傳 𦟐 紅,ầ  ệ á ồ
愊 命 㦖 踏 房 麻 𫥨,ự ì ố đạ ò à 
九 夫 傳 意 䀡 戈,ử  ệ ấ  
别 包 𣉹 特 室 家 如 𠊚,ế  ờ đượ ấ  ư ườ
蓬 萊 傳 意 䀡 制,ồ  ệ ấ  ơ
准 仙 𢝙 趣 結 縁 買 命,ố ê  ú ế ê ấ ì
台 𦖑 傳 花 情,  ệ  ì
𤊰 縁 秦 晋 矯 命 約 𬇚,é ê ầ ấ ẻ ì ướ 
玉 𫅜 群 待 價 高,ọ à ò đợ á 
女 芇 咹 槾 者 桃 𠇍 埃,ỡ à ă ậ ả đà ấ 
有 薊 傳 拱 才,ữ é ệ ũ à
謀 謨 麻 𥙩 特 𠊚 𡥵 官,ư ô à ấ đượ ườ  
春 情 傳 𧘇 論 盘,â ì ệ ấ ậ à
𣎀 𦣰 思 想 事 娘 𠬠 𠄩,đê ằ ư ưở ự à ộ 
芙 蓉 傳 意 𦘧 撝,ù  ệ ấ ẽ ờ
沛 𡥚 阿 秀 𠊚 不 仁,ả ã  ú ườ ấ â
俸 几 晋 𠊚 秦,ỗ ẻ ấ ườ ầ
芳 花 傳 𧘇 珠 陳 義 初,ươ  ệ ấ â â ĩ ư
黄 秀 傳 𧘇 縁 於,à ú ệ ấ ê ư
﨤 娘 美 女 𡗶 車 𠬠 茹,ặ à ỹ ữ ờ  ộ à
勸 孝 傳 𧘇 䀡 戈,ế ế ệ ấ  
二 十 四 孝 英 陀 拱 通,ị ậ ứ ế  đà ũ ô
四 灵 傳 𧘇 摄 穷,ứ  ệ ấ ế ù
每 𠊚 每 我 相 逢 交 歡,ỗ ườ ỗ ã ươ ù  
𠸦 朱 堆 我 北 南,  đô ã ắ 
人 縁 定 吏 車 爫 𠬠 边,â ê đị ạ  à ộ ê
𠀧 生 朱 院 𨑮 願,   ẹ ườ ề
﨤 娘 買 吘 根 原 事 情,ặ à ớ ỏ ă ê ự ì
𥪝 𠀧 𨑮 𦒹 傳 仃 仃,  ươ á ệ đà đà
﨤 娘 買 吘 事 情 𡢐,ặ à ớ ỏ ự ì 
監 客 於 𨑗 𠁀,á á ở ê đờ
監 𡅳 客 於 𨕭 𠁀,á ê á ở ê đờ
咹 制 朱 沛 别 𠳒 𫏾 𡢐,ă ơ  ả ế ờ ướ 
停 輕 𧁷 渚 𢚁 𢀭,đừ  ó ớ ậ à
古 初 𠳒 𠸠 𧗱 𡢐 猪 猪,ổ ơ ờ í ề  ờ ờ
埃 𢀭 𠄩 𣱆 包, ầ  ọ 
空 埃 𧁷 典 𠀧 𠁀 𦓡 𢗼,ô  ó đế  đờ à 
箕 如 丐 菓 埃 扜,ì ư á ả  
梗 花 埃 曰 别 朱 世 芇,à   ế ế  ế à
𡶀 箕 埃 撘 𦓡 高,ú   đắ à 
滝 箕 𣷭 意 埃 陶 𦓡 溇,ô  ể ấ  đà à â
渃 潮 埃 埃 洃,ướ ề   
干 𨖲 辰 世 干 耒 如 空,ơ ê ờ ế ơ ồ ư ô
𥪝 棱 𣘃 意 埃 槞, ừ â ấ  ồ
𩈘 𡗶 埃 𥙩 爫 篭 金 烏,ặ ờ  ấ à ồ  ô
𡄎 䀡 造 化 机 圖,ẫ  ạ á ơ đồ
情 算 拱 丕 敖 𨒣 妥 𠁀,ì  ũ ậ   ả đờ
拯 戈 事 在 𡗶,ẳ  ự ạ ờ
大 生 埃 拱 刼 𠊛 𦓡 催,đạ   ũ ế ườ à ô
吏 漢 傳 䀡 制,ạ á ệ  ơ
㗂 𠸦 項 羽 英 宜 埃 當,ế  ạ ũ    đươ
力 能 舉 鼎 拔 山,ự ă ử đỉ ạ ơ
身 長 八 尺 漢 皇 㐌,â à á í á à đã
吏 䀡 西 代 東 征,ạ  â đạ đô 
百 戰 百 勝 㐌 𠃩 𡗶,á ế á ắ đã í ờ
埃 咍 垓 下 变 移,   ạ ế ờ
漢 王 一 勝 𨖲 治 位,á ươ ấ ắ ê ị ì
從 容 固 進 𠬠 欺,  ó ế ộ 
計 制 各 麻 推 事 𡗶,ể ơ á à  ự ờ
於 𠁀 𠇍 几 𢚁 裁,ở đờ ấ ẻ ậ à
爭 坤 爭 窖 埃 埋 特 𡗉, ô  é   đượ ề
𠇍 𠊚 咹 於 别 調,ấ ườ ă ở ế đề
塊 渡 輕 㳥 吶 料 滇 滇,ỏ đò  ó ó ề  
窖 台 公 人 間,é  ô â 
呐 𠬠 外 盘 𦋦 𠀧,ó ộ à à  
催 催 内 𠃣 拱,ô ô ó í ũ
皮 太 看 㗂 𦝄 花 麻,ề á á ế ă  à
悲 𣉹 計 𧊉 花,â ờ ể ướ 
埃 䀡 典 傳 計 𦋦 買 詳,  đế ệ ể  ấ ườ
特 排 事 𧊉 𤑟 𤉜,đượ à ự ướ õ à
形 時 㗂 𢀨 埃,ì ì ế  
𡗶 泣 各 梗,ờ ắ á à
花 𧊉 帝 聘 排 𩛂 堆, ướ đấ á à  đô
庒 𠲖 閣 鳯 臺,ẳ  á ượ đà
𧡊 花 時 典 埃 辰 垠,ấ  ì đế  ì ă
𧊉 浪 𢆥 𠇍 𣎃 春,ướ ằ ă ấ á â
咹 制 朱 妥 塵 買,ă ơ  ả ầ ấ
吏 低 𠳨 客 𦟐 桃,ạ đâ ỏ á á đà
群 空 咍 㐌 尼 芇 称 斤,ò ô  đã ơ à ứ â
他 鄕 﨤 客 故 人, ươ ặ á ố â
𢚸 支 𪨀 𢪀 眞 世 芇,ò  ú ĩ â ế à
閉 𫢩 永 仍 渴 嗃,ấ  ắ ữ á 
悲 𣉹 情 咳 爫 牢 咳 情,â ờ ì ỡ à  ỡ ì
計 之 𨖲 托 𬺗 𡹞,ể  ê á ố ề
低 别 冲 撑 𤂬 芇,đâ ế   ố à
花 浪 計 𥙩 清 台, ằ ể ấ  ơ
𢝙 平 會 蓬 萊 㗂 吨, ằ ộ ồ  ế đồ
一 冲 渃 上 源,ấ  ướ ượ ê
𤂬 群 固 㗂 𥒥 強 之 之,ố ò ó ế đá à  
𠹚 唐 边 坡, đườ ê ờ
桃 群 待 柳 包 𣉹 朱 冲,đà ò đợ ễ  ờ  
拯 𠽔 𦋦 𥒥 𨔍 𨓡,ẳ ư  đá ạ ù
𦋦 芇 别 浪 𢚸 固 𦖑, à ế ằ ò ó 
於 低 仍 𡶀 穷 溪,ở đâ ữ ú ù 
眞 䏾 𥒥 㗂 蟡 哙 愁,â ụ đá ế  ọ ầ
𠊚 如 閣 鳯 重,ườ ư á ượ ù
少 之 卿 相 空 侯 每 尼,ế ì  ướ ô ầ ộ ơ
𠊚 如 𩄲 𡧲 𡗶,ườ ư â ữ ờ
碎 如 𤌋 监 制 度 芇,ô ư ó á ơ đọ à
𧊉 浪 唉 客 𦟐 桃,ướ ằ ỡ á á đà
尼 底 搭 𠓨 朱 埃,à để đắ à  
天 𡗶,ê ờ
地 坦,đị đấ
雲 𩄲,â â
雨 𩄎,ũ ư
風 𩙋, ó
日 𣈜,ậ à
夜 𣎀,ạ đê
巾,â
衣 襖, á
裳 袩,ườ ê
刀 刀,đ 
斧,ủ
鎌 鎌,ê ề
堆,đô
一 𠬠,ấ ộ
二 𠄩,ị 
八 𠔭,á á
九 𠃩,ử í
十 𨑮,ậ ườ
萬 𨷈,ạ ô
滑 裴,ạ ù
甘 𤮾, ọ
𤯆,
酸 䣷, 
苦,ổ
辛 𨐮,â 
心 𢚸,â ò
面 𫖀,ệ ặ
手 𢬣,ủ 
髮 𩯀,á ó
眉,
足 蹎,ú â
量 量,ượ ườ
尺 𡱩,í ướ
衡 斤,à â
篙 樔, à
杖 梞,ượ ậ
竿 竿, ầ
標 標,ê ê
鷄 𪃿,ê à
鵝,
牛 𤛠,ư â
犬 㹥,ể ó
貓 猫,ê è
羊 羝,ươ ê
木 𣘃,ọ â
草 𦹵,ả ỏ
𥯌,
梁,ươ
麥 𥟼,ạ ắ
𣘛,â
池,ì
井 汫,ỉ ế
橋 橋,ể ầ
榔 橰, 
煙 茦,ê ố
芙,ù
灰 洃,ô ô
催 推 低 㐌 别 耒,ô ô đâ đã ế ồ
包 𣉹 少 几 𨕭 𠁀 才 花, ờ ế ẻ ê đờ à 
埃 喂 買 油 𦓡, ơ ấ  à
強 攄 𡗋 強 𫅷 失 緣,à  ắ à à ấ ê
𨕭 𡽫 徐 式 修 仙,ê  ừ ứ  ê
玄 光 修 𫢋 於 边 厨,ê   ậ ở ê ù
中 間 群 景 眞,  ò ả â
蹺 𠾕 女 𡗋 工 夫 埃, đò ữ ắ ô  
他 乎 志 立 辰 𢧚, ồ í ậ ờ ê
修 縁 秦 晋 安 草 花, ê ầ ấ ê ả 
花 浪 呐 𠶤 崇, ằ ó ượ ù
拱 曾 㐌 别 𧵆 賖 每 塘,ũ ừ đã ế ầ  ọ đườ
𠬠 縁 𤊰 焒 香,ộ ê é ử ươ
朱 停 買 几 雪 霜 别 共, đà ấ ẻ ế ươ ế ù
仍 恩 怨,ữ â á
𢞂 埃 别 朱 𢚸 尼 諸,ồ  ế  ò à ư
魂 梅 迷 水 失,ồ  ê ỷ ấ
催 信 螉 𧊉 吏 書 晋 秦,ô   ướ ạ ư ấ ầ
強 𠹚 強 𠬠 吝,à  à ộ ầ
𨑮 分 牢 拯 𠬠 分 扒 朱,ườ ầ  ẳ ộ ầ ớ 
呐 𦋦 𤏣 吏 𢢆 殊,ó  ỏ ạ ẹ ò
淹 𦋦 辰 𢜝 咮 𢗼 㗂 沁,ê  ì ợ  ừ ế ă
拯 傷 兑 仍,ẳ ươ đá ữ
絲 𠃩 曲 如 紆,ơ í ú ư ò
𧊉 浪 沛 呐 𡮈,ướ ằ ả ó ỏ
固 如 𣷭 麻 𨃝 濃 溇,ó ư ể à ò ô â
襖 𥹰 拯 默 拱 艚,á â ẳ ặ ũ ầ
花 箕 買 特 牟 縁 庒,  ã đượ à ê ă
㐌 迻 緣 細 閣 藤,đã đư ê ớ á đằ
𪀄 群 想 𩙌 𥉫 𦝄 矧 徐, ò ưở ó ô ă ẩ ờ
當 干 渃,đươ ơ ướ
㯲 樔 待 别 包 𣉹 朱 冲,ấ à đợ ế  ờ  
悴 情 㤕 仍 𪨅 中,ú ì ó ữ ẻ 
牢 娘 於 准 林 穷 閉 吟, à ở ố â ù ấ â
𢝙 制 𡶀 花 林, ơ ú  â
客 塵 𠇍 几 别 尼 開 塘,á ầ ấ ẻ ế ơ  đườ
翁 窖 訴 詳,ô é ỏ ườ
麻 些 典 貝 娘 結 縁,à  đế ớ à ế ê
花 浪 别 准 林 泉, ằ ế ố â ề
清 台 趣 味 塵 緣 恪, ơ ú ị ầ ê á
𡗶 撑 𣱾 𣱾 𦝄 冲,ờ   ẻ ă 
俸 干 𩙌 同 同 細 尼,ổ ơ ó đù đù ớ ơ
幅 幀 埃 窖 撝,ứ   é ờ
㗂 𦝄 花 窖 𫃚 𠊚 如 空,ế ă  é ộ ườ ư ô
摱 芒 丐 㗂 𦟐 紅,ượ  á ế á ồ
𢚁 才 𢚁 色 英 雄 約 𬇚,ậ à ậ ắ  ù ướ 
𡨸 情 想 𢖵 别 包,ữ ì ưở ớ ế 
爫 沖 少 惱 渴 滈 𢚸 塵,à  ể ã á  ò ầ
𢖵 埃 群 固 欺 寅,ớ  ò ó  ầ
𢖵 情 别 𠇍 分 果 𢣧,ớ ì ế ấ ầ ả â
紅 買 曾,ồ ã ừ
妬 埃 愁 尼 朱 𦋦,đố  ầ à  
固 𣎀 𡎢 䏾 𦝄 斜,ó đê ồ ó ă à
𣋀 枚 侯 木 㗂 𪃿 噲,  ầ ọ ế à ọ
𤇊 𤇊 清,ầ ầ 
吏 添 猿 边,ạ ê ượ ê
𪟂 吒 丐 女 傾 城,é  á ợ  à
仍 㗂 默 名 𨕭 𠁀,ữ ế ắ  ê đờ
責 縁 𡲤 吏 恨 𠁀,á ê ả ạ ậ đờ
㗂 埃 窖 達 仍 𠳒 𧊉 螉,ế  é đặ ữ ờ ướ ô
滝 渃 沚 堆 𣳔,ô ướ ả đô ò
别 麻 𨃝 特 𢚸 朱 當,ế à ò đượ ò  đ
𧊉 浪 𧡊 呐 添 強,ướ ằ ấ ó ê à
想 𨉓 麻 吏 𢖵 傷 旦 𠊚,ưở ì à ạ ớ ươ đế ườ
紅 顔 易 𠇍 𨕭 𡗶,ồ  ễ ấ ê ờ
花 𦹳 曾 課 𠊚 𨔈 固 辰, ơ ừ ở ườ ơ ó ì
仍 調 𦝄 𩙌 計 之,ữ đề ă ó ể 
賖 𥸷 乙 拱 固 欺 吏 𧵆, ô ắ ũ ó  ạ ầ
玉 珠 𠸗 結 鄧 春,ọ â ư ế đặ â
紅 娘 吀 焒 吝 麻 𢧚,ồ ươ  ử ầ à ê
尾 之 堆 𡦂 情 縁,ẽ  đô ữ ì ê
𢱖 功 香 焒 添 煩 𢚸, ô ươ ử ê ề ò
𢪀 牢 朱 院 朱 𧷺,ĩ   ẹ  ò
矯 麻 𢢆 買 渃 𡽫 牢 停,ẻ à ẹ ấ ướ   đà
困 𫢩 㐌 願 貝 情,ố  đã ệ ớ ì
芇 埃 負 義 三 生 油 麻,à  ụ ĩ    à
決 𢚸 細 景 探 花,ế ò ớ ả ă 
庒 修 固 典 廛 𫅷 爫 之,ẳ  ó đế ề à à 
外 秦 晋 狹 之,à ầ ấ ẹ ì
芇 𢚸 廣 大 慈 悲 芇,à ò ả đạ ừ  à
船 漁 細 准 洞 桃,ề ư ớ ố độ đà
補 功 哏 咘 約 閉,õ ô ắ ó ướ ấ
花 浪 𩙌 動 霜 𠖤, ằ ó độ ươ 
几 搭 𧜖 几 冷 㳥,ẻ đắ ă ẻ ạ ù
占 吒 丐 刧 𥙩 𫯳 終,é  á ế ấ ồ 
𠄼 澄 𨑮 祸 𫨩 庒 渚,ă ừ ườ ạ  ă ớ
𣎃 堆 吝 固 拱 空,á đô ầ ó ũ ô
故 𢶸 咹 𥸷 𥸷 吏 孔,ố đấ ă ô ô ạ ỏ
扲 朋 爫 漫 漫 空 功,ầ ằ à ướ ướ ô ô
㐌 𠇮 典 准 尼 朱 安,đã ì đế ố à  ê
俸 埃 窖 吹 𢧚,ỗ  é  ê
餒 尼 𠸠 别 羕 尼 𠰚,ỗ à í ế ườ à ỉ
信 螉 使 蝶 吏 添 絆 𢚸,  ứ đệ ạ ê ậ ò
群 打 買 拯 冲,ò đá ã ẳ 
辰 𠓀 傕 停 於 丕 衝,ờ ướ ô đà ở ậ 
寔 𢝙 固 打 特 庄 咳 煩,ự  ó đá đượ ă ỡ ề
𧊉 浪 咳 客 婵 娟,ướ ằ ỡ á ề ê
㐌 冲 如 這 染 之 麻,đã  ư á ộ  à
𨀈 𠓨 𥪝 准 園 花,ướ à  ố ườ 
庒 𦹳 拱 𢲨 梗 制,ẳ ơ ũ á à ơ
䀡 浪 默 客 𨕭 𠁀, ằ ặ á ê đờ
底 停 芒 㗂 𦋦 𠊚 冬 迻,để đà  ế  ườ đ đư
決 如 妸 𢬣 𫅷,ế ư ả  à
採 𣋀 轉 特 呐 麻 潘,á  ể đượ ó à 
花 浪 䏾 月 漏 漏, ằ ó ệ ầ ầ
俸 埃 律 愁 如 空,ỗ  ú ầ ư ô
埃 监 吘 事 𢚸, á ỏ ự ò
雪 霜 停 冷 𣼰 𣎀 冬,ế ươ đà ạ ù đê đô
尾 之 幅 謹 封,ẽ  ứ ẩ 
𠸠 初 庒 可 朱 衝 默 𠊚,í ư ẳ á   ặ ườ
庒 𦖑 𦋦 拱 呢 𠳒,ẳ   ũ ể ờ
𡦂 縁 𢧚 妬 㗂 唭 在 埃,ữ ê ê đố ế ườ ạ 
𧊉 浪 催 渚 甚 𠳒,ướ ằ ô ớ ậ ờ
人 生 𢼂 於 𨕭 𠁀 終,â  ố ở ê đờ 
詩 云, â
𠳨 制 群 大 𨔍 𨓡,ỏ ơ ò đạ ạ ù
𠬠 低 𠬠 帝 恪 𢚸 之 庒,ộ đâ ộ đấ á ò  ă
才 情 特 𠇍 妸 姮,à ì đượ ấ ả à
女 芇 底 客 𦝄 待 徐,ỡ à để á ă đợ ờ
賊 殷 𨑮 萬 没 𣘃 棍,ặ â ườ ạ ộ â ô
𠰚 情 𢧚 沛 尽 辞,ể ì ê ả ậ ừ
𠀧 𢆫 𠦳 𠸗 没 聖 𡥵, ổ ì ư ộ á 
秦 低 晋 帝 包 𣉹 朱 𢧚,ầ đâ ấ đấ  ờ  ê
悲 𣉹 滝 浪 渃 安,â ờ ô ằ ướ ê
巢 箕 㐌 𨔾 朱 船 𨖅 渚,à  đã ở  ề  ư
功 業 標 蓮 頭 馭,ô ệ ê ê đầ ự
戾 欺 声 氣 弭 恒,ệ   í ẹ ằ
孝 忠 𤋵 𤏣 𬌓 𢚸 𣜱,ế  ã ỏ ấ ò 
𦝄 箕 缺 怒 埃 扛 朱 𦋦,ă  ế ọ  ằ  
𫥨 𢬣 解 救 朱 𥠭,  ả ứ  ố
腰 𣘃 𢧚 沛 花,ê â ê ả 
底 㗂 𥹰 𨱽 貝 渃 𡽫,để ế â à ớ ướ 
固 固 空 空 芇 赦 𠸥,ó ó ô ô à á ể
為 情 𢧚 沛 𠓨 𦋦 買 情,ì ì ê ả à  ấ ì
𠊚 𠸗 群 買 渃 𡽫 群,ườ ư ò ã ướ  ò
𠸗 𫢩 仍 𠎬 奇 人,ư  ữ đấ ỳ â
功 名 事 業 𨑮 分 恪 𠊚,ô  ự ệ ườ â á ườ
立 碑 立 𣄒 𠁀,ậ  ậ ở đờ
潮 𨖲 㳥 渃 竜 冷,ề ê ó ướ  ạ
英 雄 𨢟 𢸞 𢧚 时 世 咍, ù â ự ê ờ ế 
花 𦹳 嗷 𠯪 𦲿 撑 夷 夷, ơ à ạ á  ì ì
渃 些 固 傳 奇 台,ướ  ó ệ ỳ 
𠦳 𢆥 碑 𥒥 鑿 𥱬,ì ă  đá ạ 
奇 人 奇 事 低 包 𠁀,ỳ â ỳ ự đâ  đờ
仍 𠳒 𦝄 𩙌 折 之 燕,ữ ờ ă ó ế ì é
𠳒 誓 群 妬 停 停,ờ ề ò đó à à
油 埃 单 泊 虎 𨕭 堆,ù  đơ ạ ổ ê đô
花 浪 催 吏 𤑟 𤉜, ằ ô ạ õ à
㗂 窖 訴 𨕭 梗 固 花,ế é ỏ ê à ó 
㐌 修 固 𢪀 之 賖,đã  ó ĩ ì 
牢 麻 㗂 𦝄 花 此 情, à ế ă  ử ì
永 𦖑 边 梗,ẳ  ê à
𥉫 𫥨 柳 㐌 萌 拂 坡,ô  ễ đã à ấ ơ
坤 儀 貞 静 柔 媚,ô   ĩ  ì
道 弹 婆 於 皮 順 𠳐,đạ đà à ở ề ậ â
分 明 四 德 𠰺 浪,â  ứ đứ ạ ằ
買 三 從 意 𠸗 曾 撩 𦎛,ấ  ù ấ ư ừ  ươ
涅 停 燶 艿 倍 傍,ế đừ ó ả ộ à
㐌 和 平 吏 妙 揚 買 咍,đã à ì ạ ị à ấ 
𧡊 調 沛 意 爫 𬆄,ấ đề ả ấ à 
别 勾 磊 𤵺 之 低 𢬭 連,ế â ỗ ạ ì đâ đổ ề
靜 時 噒 嚕 勤 拳,ĩ ờ ă ổ ầ ề
動 時 𢖮 沛 𡨺 禮 儀,độ ờ ắ ả ữ ễ 
眜 箕 𬆄 𥊢 𪿄 𠫾,ắ   ẳ ô đ
䏾 尼 淹 朗 𢪀 之 調 𠳹,ụ à ê ặ ĩ  đề ằ
呐 停 嗹 㖫,ó đừ ế ă
寛 台 𠳒 意 沛 庒 勾 尼,  ờ ấ ả ă â à
調 𠊛 空 沛 黙 尸,đề ườ ô ả ặ â
調 𨉟 空 沛 𠹾 𣦍 𠫾 𦓡,đề ì ô ả ị  đ à
𫳵 𢧚 𩢬 𠲝 𠊛 些, ê ừ ố ườ 
𫳵 𢧚 謟 佞 讒 坡 傳 𠁀, ê ể ị è  ệ đờ
𤵺 𠊛 𩂏 𩂠 每,ạ ườ  đậ ọ
坤 𨉟 𢭳 停 𤇨 𫥨 外,ô ì ấ đừ ơ  à
從 之 唭 𠹳 容 𨱽,ồ ì ườ ợ  à
𡗉 𠳒 𡗋 傳 羅 𠊛 空 咍,ề ờ ắ ệ à ườ ô 
催 停 𡀍 𠯽 埃 低,ô đừ ỉ ử  đâ
催 停 㴜 呐 𠾦 𦓡 乾,ô đừ ẩ ó  à à
停 曠 闕 舒 閒,đừ á ế ư à
㐌 爫 朱 吏 朱 精,đã à  ạ  
荼 漿 坤 窖 唁 𫅜,ư ươ ô é  à
具 纖 𨉟 監 差,ỗ ươ ì á 
學 藝 𦄅 習 藝 𦁼,ọ ề ệ ậ ề 
欺 邱 襖 𣅶 𫢼 𢬭 裙, â á ú  đổ ầ
女 工 𣌋 專 勤,ữ ô ớ ê ầ
准 閨 門 𢖮 固 分 榮,ố ê ô ắ ó ầ 
綘 停 𣜱 粉 點 粧,á đà  ấ để 
形 神 質 樸 容 光 完 全,ì ầ ấ á   à à
𬙾 咦 丐 紅 顔,đẹ ì á ồ 
爫 朱 𡥵 眜 世 間 痗 𡗉,à   ắ ế  ỏ ề
容 儀 嚴 𤾓 朝,  ê ă ề
焒 香 窖 𨤧 情 期,ử ươ é ẽ ì ỳ
䀡 厨 清 永 空 師 修 行, ù  ắ ô ư  à
於 低 岌 𡹞,ở đâ ậ ề
客 情 固 𬺗 船 情 尼 空,á ì ó ố ề ì à ô
咍 群 想 𢖵 𡽫 蓬, ò ưở ớ  ồ
樁 嘹 竹 化 紅 清 台,ô  ú á ồ  ơ
咍 㐌 願 固 尼, đã ệ ó ơ
船 只 待 徐 𠊚 情 鍾,ề ỉ đợ ờ ườ ì 
花 浪 芇 固 𨔍 𨓡, ằ à ó ạ ù
𢪀 浪 𢚸 㐌 别 𢚸 辰 催,ĩ ằ ò đã ế ò ì ô
埃 𪫢 吏 庒 信 𠳒, ờ ạ ẳ  ờ
塵 𠇍 几 别 𠊚 知 音,ầ ấ ẻ ế ườ  â
固 縁 如 果 味,ó ê ư ả ù
空 縁 如 𦑃 花 涞 𡧲 塘,ô ê ư á  ơ ữ đườ
意 浪 埃 拱 㗂 鍾,ấ ằ  ũ ế ô
渚 誇 才 色 捤 摓 爫 之,ớ  à ắ ẫ ù à 
𧊉 浪 惵 意 順 情,ướ ằ đẹ ý ậ ì
唒 肝 鉄 𥒥 拱 停 朱 衝,ẫ  ắ đá ũ đà  
𢧚 空 決 罕 停 空,ê ô ế ẳ đà ô
事 𠇮 麻 吏 柁 𢚸 𠳨 埃,ự ì à ạ đà ò ỏ 
花 浪 坦 𢌌 𡗶 高, ằ đấ ộ ờ 
風 情 固 少 之 尼 風 情, ì ó ế ì ơ  ì
㐌 浪 牢 固 修 行,đã ằ  ó  à
牢 麻 𠹾 庫 芒 經 旦 厨, à ị ó   đế ù
悴 情 仍 丐 蜉,ó ì ữ á ù
𠄼 更 刻 快 𣎀 秋 吏 𠫅,ă  ắ á đê  ạ ầ
𧊉 浪 呐 吏 朱,ướ ằ ó ạ 
悲 𣉹 𢚸 㐌 别 𢚸,â ờ ò đã ế ò
固 如 𣅶 𨔍 𢚸 渚 悁,ó ư ú ạ ò ư 
吝 戈 䏾 桂 㙴,ầ  ó ế ề
𢪀 𠇮 想 客 鍾 𠊛 知 音,ĩ ì ưở á  ườ  â
惜 台 花 沛 葛 淋,ế   ả á ầ
𥋸 𦎛 司 馬 麻 𠰃 埃 喂,ô ươ ư ã à ồ  ơ
愁 辰 埃 强 爫,ầ ờ  ượ à
塘 咹 黙 𠤆 𡮍 奢 華,đườ ă ặ ớ ú  
𢚸 尼 空 想 怒 箕,ò à ô ưở ọ 
时 停 木 漠 圭 世 麻,ờ đà ộ ạ ê ế à
矯 欺 月 𠸍 花 唭 拯 咍,ẻ  ệ ỉ  ườ ẳ 
花 浪 悁 㗂 渃 尼, ằ  ế ướ à
事 情 𠬠 帝 𠬠 低 之,ự ì ộ đấ ộ đâ ì
𥉫 𠊛 𥪝 揊 樸,ô ườ  ứ á
女 才 價 意 當 辰 成 包,ữ à á ấ đá ì à 
債 𠊚 宮 禁 楼 高,á ườ  ấ â 
祸 𤊰 待 㤕 芇 女 催,ạ é đượ ú à ữ ô
於 𢖮 沛 蹺 吒,ở ắ ả  
居 光 㐌 𠇍 𨑗 𠁀,ư  đã ấ ê đờ
