nom,vi
書成上進御覽遂命工刊刻頒布天下使徔前,ư à ượ ế ự ã ạ ệ ô  ắ  ố ê ạ ử ò ề 
天百年未集之事績遹底于成,ê á ê ị ậ  ự í ậ để  à
天下之人目是編者豁然如覩青天坦然如循大路,ê ạ  â ụ ị ê ả á ê ư đổ  ê ả ê ư ầ đạ ộ
善者知所激昂惡者知所懲𠬠,ệ ả  ở í  á ả  ở ừ ộ
推而為脩齊治平之極功綏来動和之大效端在是矣,    ề ị ì  ự ô   độ à  đạ ệ đ ạ ị ĩ
謹序,ẩ ự
𠱾,ờ 
正和十八年嵗在丁丑仲冬榖日,í à ậ á ê ế ạ đ ử ọ đô ố ậ
奉㫖考編特進金紫榮禄大夫參從刑部尙書知中書監萊山子臣黎僖,ụ ỉ ả ê đặ ế  ử  ộ đạ   ụ ì ộ ượ ư   ư á  ơ ử ầ ê 
光進慎禄大夫陪從户部右侍郎廉堂男臣阮貴德, ế ậ ộ đạ  ồ ụ ộ ộ ữ ị  ê đườ  ầ ễ ý đứ
弘信大夫陪從太僕寺卿知侍内書寫兵番臣阮公董,ằ í đạ  ồ ụ á ộ ự   ị ộ ư ả  ê ầ ễ ô đổ
弘信大夫陪從鴻矑寺卿知侍内書寫户,ằ í đạ  ồ ụ ồ ô ự   ị ộ ư ả ộ 
番臣武城,ê ầ ũ ạ
弘信大夫陪從奉天府尹知水師臣何宗穆,ằ í đạ  ồ ụ ụ ê ủ ã  ỷ ư ầ à ô ụ
進功郎陪從吏科級事中知侍内書寫户番臣阮行,ế ô  ồ ụ ạ  ấ ự   ị ộ ư ả ộ ê ầ ễ à
進功郎户科給事中臣阮致中,ế ô  ộ  ấ ự  ầ ễ í 
進功郎工科給事中臣阮當褒,ế ô  ô  ấ ự  ầ ễ đươ 
謹事郎翰林院校理臣阮邁,ẩ ự  à â ệ ệ í ầ ễ ạ
謹事佐郎翰林院校討臣阮湖,ẩ ự á  à â ệ ệ ả ầ ễ ồ
謹事佐郎翰林院校討臣吳公擢,ẩ ự á  à â ệ ệ ả ầ ô ô ạ
進功郎昭文舘司訓臣陳附翼,ế ô  ê ă á  ấ ầ ầ ụ ự
進功郎昭文舘司訓臣杜公弼,ế ô  ê ă á  ấ ầ đỗ ô ậ
内差特進金紫榮禄大夫司禮監總太監副知侍内書寫兵番寬海侯臣范廷僚奉監謄刊,ộ  đặ ế  ử  ộ đạ  ư ễ á ổ á á ó  ị ộ ư ả  ê  ả ầ ầ ạ đì ê ụ á đằ 
内差特進金紫榮禄大夫司禮監同知監事僉知歩兵書寫令史校義侯臣阮成名奉監謄刊,ộ  đặ ế  ử  ộ đạ  ư ễ á đồ  á ự ê  ộ  ư ả ệ ử ệ ĩ ầ ầ ễ à  ụ á đằ 
内差特進金紫榮禄大夫司禮監左監丞,ộ  đặ ế  ử  ộ đạ  ư ễ á ả á ừ 
珪祥侯臣阮俊堂奉監謄刊,ê ườ ầ ầ ễ ấ đườ ụ á đằ 
内差特進金紫縈禄大夫司禮監左監丞望祥侯臣吳冠倫奉監謄刊,ộ  đặ ế  ử  ộ đạ  ư ễ á ả á ừ ọ ườ ầ ầ ô á â ụ á đằ 
特進金紫縈禄大夫少卿副勾󰧇将臣吏燿堂子臣吳德勝奉㸔謄寫,đặ ế  ử  ộ đạ  ế  ó â ê ướ ầ ạ ệ đườ ử ầ ô đứ ắ ụ á đằ ả
副該合将臣吏少卿洪江男臣棃仕勳奉属㸔謄,ó  ợ ướ ầ ạ ế  ồ   ầ ê ĩ â ụ ộ á đằ
優中侍内書寫兵番臣髙登朝奉謄,ư ú ị ộ ư ả  ê ầ  đă ề ụ đằ
優中侍内書寫兵番臣杜公廉奉謄,ư ú ị ộ ư ả  ê ầ đỗ ô ê ụ đằ
優中侍内書寫水兵番臣鄧有斐奉謄,ư ú ị ộ ư ả ỷ  ê ầ đặ ữ ỉ ụ đằ
優中都吏臣阮有德奉謄,ư ú đô ạ ầ ễ ữ đứ ụ đằ
梓人紅录柳幢等社人奉刊,ử â ồ ụ ễ à đẳ ã â ụ 
大越史記續編書,đạ ệ ử í ụ ê ư
國史何為而作也盖史以記事為主,ố ử à   á ã á ử ĩ í ự  ủ
有一代之治必有一代之史,ữ ấ đạ  ị ấ ữ ấ đạ  ử
而史之載筆持論甚嚴如黼黻至治與日月而並明铁鉞亂賊與秋霜而俱厲, ử  ả ú ì ậ ậ ê ư ủ ấ í ị ữ ậ ệ  ị  ế ệ ạ ặ ữ  ươ  ụ ệ
善者知可以為法惡者知可以為戒䦕係治體不為不多,ệ ả  ả ĩ  á á ả  ả ĩ  ớ  ệ ị ể ấ  ấ đ
故有爲而作也,ố ữ   á ã
粤自我國繼天地之開闢鴻庞氏首出御世歷至國朝黎恭皇有君有臣有體統其政治之得失世道之隆汚禮樂之興󰲝人物之賢否莫不僃載,ệ ự ã ố ế ê đị   ị ồ à ị ủ ấ ự ế ị í ố ề ê  à ữ â ữ ầ ữ ể ố ì í ị  đắ ấ ế đạ   ô ễ ạ  ư ế â ậ  ề ủ ạ ấ ị ả 
於史󰀋之中,ư ử á  
試嘗考之昔翰林院學士兼國史院監修黎文休承陳太宗之命編大越史記自趙武帝至李昭皇及修史官潘孚先奉皇朝仁宗命續編大越史記自陳太宗至明人還國,í ườ ả  í à â ệ ọ ĩ ê ố ử ệ á  ê ă ư ừ ầ á ô  ệ ê đạ ệ ử í ự ệ ũ đế í í ê à ậ  ử    ê ụ à ề â ô ệ ụ ê đạ ệ ử í ự ầ á ô í  â à ố
其抑揚大義已昭昭於史筆之公論矣,ì ứ ươ đạ ĩ ĩ ê ê ư ử ú  ô ậ ĩ
迨聖宗淳皇帝稟睿智之資厲英雄之志拓土開疆創法定制尤䏻留意史籍,đã á ô ầ à đế ẫ ệ í  ư ệ  ù  í á ổ  ươ á á đị ế ư ă ư ý ử ị
乃於洪德十年間命禮部左侍郎兼國子監司業吳士連纂修大越史記全書,ã ư ồ đứ ậ ê  ệ ễ ộ ả ị  ê ố ử á ư ệ ô ĩ ê ả  đạ ệ ử í à ư
繼以,ế ĩ 
襄翼帝於洪順三年命兵部尙書兼國子監司業兼史官都總裁武󰔂撰大越通鑑述自鴻庞氏至十二使君别為外紀自丁先皇至國朝太祖髙皇帝大定天下𥘉年為本紀,ươ ự đế ư ồ ậ  ê ệ  ộ ượ ư ê ố ử á ư ệ ê ử  đô ổ à ũ ỳ ạ đạ ệ ô á ậ ự ồ à ị í ậ ị ứ â ệ  ạ ỉ ự đ ê à í ố ề á ổ  à đế đạ đị ê ạ ơ ê  ả ỉ
其筆削大法又炳炳於史筆之徵㫖矣,ì ú ướ đạ á ự í í ư ử ú  ư ỉ ĩ
至於洪順六年又命少保禮部尙書東閣大學士兼國子監祭酒知經筵事󰦛書伯黎嵩𢮪大越通鑑總論可謂篤志於史學而其是非亦不䏻逃於公議矣,í ư ồ ậ ụ ê ự ệ ế ả ễ ộ ượ ư đô á đạ ọ ĩ ê ố ử á ế ử   ê ự đô ư á ê  ạ đạ ệ ô á ổ ậ ả ị đố í ư ử ọ  ì ị  ệ ấ ă đà ư ô ị ĩ
暨光紹五年又命禮部尙書史官副都總裁知,ị  ệ ũ ê ự ệ ễ ộ ượ ư ử  ó đô ổ à  
昭文舘秀林局鄧鳴謙作詠史詩集亦可謂䏻求諷詠於詩而考見其得失矣,ê ă á ú â ụ đặ  ê á ị ử  ậ ệ ả ị ă ầ ú ị ư   ả ế ì đắ ấ ĩ
由是而觀編集國史者屢至再四但未刊板頒布致傳録錯繆不䏻無亥豕魚魯之失, ị   ê ậ ố ử ả ũ í á ứ đá ị  ả  ố í ề ụ á ậ ấ ă ô ợ ỉ ư ỗ  ấ
若不委之板正何以洗相沿之故習㢤,ượ ấ ỷ  ả í à ĩ ẩ ươ ê  ố ậ 
欽惟皇上陛下嗣守丕基率循大卞日與大元帥掌國政尙師西王整飭紀綱作興文教專委欽差節制各處水步諸營兼總政柄太尉宜國,â  à ượ ệ ạ ự ủ ỉ ơ ấ ầ đạ ệ ậ ữ đạ ê á ưở ố í ượ ư â ươ ỉ ứ ỉ ươ á ư ă á ê ỷ â  ế ế á ứ ỷ ộ ư  ê ổ í í á ý  ố 
公鄭根典司政本講求治理深知夫史乃正當時之名分示來世之勸懲,ô ị ă để ư í ả ả ầ ị í â  ù ử ã í đươ ờ   ậ ị  ế  ế ừ
於是渙起宸斷紬繹書史特命臣與左侍郎臣楊㵆右侍郎臣胡士揚臣阮國櫆臣鄧公瓆寺卿臣阮公壁東各神裴廷貟侍書臣陶公正待制臣吳珪府尹臣阮廷正給事中臣阮公弼翰林臣阮曰庶臣武惟斷等訂改國史自洪庞氏至恭皇紀义命續編自荘宗裕帝至,ư ị á ở ầ đạ ừ ị ư ử đặ ệ ầ ữ ả ị  ầ ươ ạ ữ ị  ầ ồ ĩ ươ ầ ễ ố ô ầ đặ ô ấ ự  ầ ễ ô í đô á ầ ù đì ê ị ư ầ đà ô í đã ế ầ ô ê ủ ã ầ ễ đì í ấ ự  ầ ễ ô ậ à â ầ ễ ế ứ ầ ũ  đá đẳ đí ả ố ử ự ồ à ị í  à ỉ ĩ ệ ụ ê ự  ô ụ đế í 
神宗淵皇帝萬慶年間述為成書鋟梓頒行,ầ ô ê à đế ạ á ê  ậ  à ư ẩ ử  à
臣等自知󰔹線其才甕天其見目不業侯萬軸骨不世南秘書其才又出於黎鄧諸君子之下安敢馳鶩於數千載之上以僃補綴者㢤,ầ đẳ ự  ệ ế ì à ủ ê ì ế ụ ấ ệ ầ ạ ụ ố ấ ế  í ư ì à ự ấ ư ê đặ ư â ử  ạ  ả ì ụ ư ổ ê ả  ượ ĩ ị ổ ế ả 
然既叨承成命不敢以淺拙辭,ê í  ừ à ệ ấ ả ĩ ể ế ừ
因共加蒐獵間見抄録遺舛字義蹇澁乃推尋意義之中補輯一二使讀者易曉非敢妄為附會臆説,â ộ  ư ệ  ế  ụ  ễ ự ĩ ể á ã  ầ ý ĩ   ổ ậ ấ ị ử độ ả ị ể  ả ọ  ụ ộ ứ ế
又摭取自洪庞氏至吳使君題曰大越史記外紀全書自丁先皇至我,ự í ủ ự ồ à ị í ô ứ â đề ế đạ ệ ử í ạ ỉ à ư ự đ ê à í ã 
國朝太祖髙皇帝為本紀全書並依如前史臣吳士連武瓊等之所着述也,ố ề á ổ  à đế  ả ỉ à ư ị  ư ề ử ầ ô ĩ ê ũ ỳ đẳ  ở ướ ậ ã
其自國朝太宗至恭皇則因前書所載題曰本紀實録,ì ự ố ề á ô í  à ắ â ề ư ở ả đề ế ả ỉ ự ụ
又參究登柄野史及畧取當時所献各遺編述自國朝庄宗裕皇帝至神宗淵皇帝增入國史命曰大𧻗史記本紀續編,ự  ứ đă í ã ử ậ ượ ủ đươ ờ ở ế á  ê ậ ự ố ề  ô ụ à đế í ầ ô ê à đế ă ậ ố ử ệ ế đạ ệ ử í ả ỉ ụ ê
總分爲二十三卷,ổ â  ị ậ  ể
凣所續編其繋年之下非正統者及北朝年號皆两行分註,à ở ụ ê ì ệ ê  ạ  í ố ả ậ ắ ề ê ệ  ưỡ à â ú
與夫凣例所書,ữ  à ệ ở ư 
一遵前史書式,ấ â ề ử ư ứ
皆所以尊正統而黜僭偽󰁮大綱而昭監戒耳, ở ĩ ô í ố  ấ ế ỵ ử đạ ươ  ê á ớ ĩ
間或字義之未精句法之未當幸賴博洽諸君子補正之使人知是史之作其言正治亦古史之尙書其寓褒貶亦魯史之春秋󰱃有補於治道有裨於風教是亦考正之一助云, ặ ự ĩ  ị  â á  ị đá ạ ạ á ệ ư â ử ổ í  ử â  ị ử  á ì ô í ị ệ ổ ử  ượ ư ì ụ  ế ệ ỗ ử  â  ứ ữ ổ ư ị đạ ữ ì ư  á ị ệ ả í  ấ ợ â
旹,ờ 
景治三年歳在乙巳仲秋節榖日,ả ị  ê ế ạ ấ ị ọ  ế ố ậ
賜戊辰科同進士出身參從吏部尙書兼東閣大𭓇士少保燕郡公臣范公著奉編,ứ ậ ì  đồ ế ĩ ấ â  ụ ạ ộ ượ ư ê đô á đạ ọ ĩ ế ả ê ậ ô ầ ạ ô ứ ụ ê
大越史記外紀全書,đạ ệ ử í ạ ỉ à ư
史以記事也而事之得失為将來之鑒戒,ử ĩ í ự ã  ự  đắ ấ  ươ   á ớ
古者列國各有史如魯之春秋晉之擣杌楚之乘是已大越居五嶺之南乃天限南北也,ổ ả ệ ố á ữ ử ư ỗ  â  ấ  đà ộ ở  ặ ị ĩ đạ ệ ư ũ ĩ   ã ê ạ   ắ ã
其始祖出於神農氏之後乃天啟真主也所以䏻與北朝各帝一方焉,ì ỷ ổ ấ ư ầ ô ị  ậ ã ê ả â ủ ã ở ĩ ă ữ ắ ề á đế ấ ươ ê
奈史籍闕於紀載而事實出於傳聞文涉恠誕事或遺忘以至謄寫之失真紀録之繁冗徒為嵬目将何鑒焉,ạ ử ị ế ư ỉ ả  ự ự ấ ư ề ă ă ệ á đả ự ặ   ĩ í đằ ả  ấ â ỉ ụ  ồ ũ đồ  ô ụ ươ à á ê
至陳太宗始命學士黎文休重修自趙武帝以下至,í ầ á ô ỷ ệ ọ ĩ ê ă ư ù  ự ệ ũ đế ĩ ạ í 
李招皇初年,ý ê à ơ ê
本朝仁宗又命修史潘孚先續編自陳太宗以下至明人睘國皆以大越史記名,ả ề â ô ự ệ  ử   ê ụ ê ự ầ á ô ĩ ạ í  â à ố  ĩ đạ ệ ử í 
然後歷代事蹟彰可鑒,ê ậ ị đạ ự í ươ ươ ả á
文休陳時大手筆也孚先聖朝故老人也皆奉詔編其本國之史旁蒐遺史會輯成書史後之覽者無遺憾焉可也,ă ư ầ ờ đạ ủ ú ã  ê á ề ố ã â ã  ụ ế ê ì ả ố  ử à ư  ử ộ ậ à ư ử ậ  ã ả ô  á ê ả ã
而記志猶有未僃義例猶有未當文字猶有未安讀者不能無憾焉, í í  ữ ị ị ĩ ệ  ữ ị ườ ă ự  ữ ị  độ ả ấ ă ô á ê
獨胡宗鷟越史綱目有作書事慎重而有法評事切當而不冗殆亦庶幾,độ ồ ô ố ệ ử ươ ụ ữ á ư ự ậ ọ  ữ á ê ự ế đá  ấ ũ đã ệ ứ ơ
然而兵,ê   
火之後其書不傳,ả  ậ ì ư ấ ề
盖成之至難,á à  í 
意若有待,ý ượ ữ đã
皇上中興崇儒重道儒典考文廼於光順年間詔求也史及家人所藏古今傳記悉令奏進以僃參考,à ượ  ư ù  ọ đạ ầ để ả ă ã ư  ậ ê  ế ầ ã ử ậ  â ở à ổ  ề í ấ ệ ấ ế ĩ ị  ả
又命儒臣討論編次臣前在史院嘗預焉及再入也而其書已上進藏之東閤莫得之見,ự ệ  ầ ả ậ ê ứ ầ ề ạ ử ệ ườ ự ê ậ á ậ ã  ì ư ĩ ượ ế à  đô á ạ đắ  ế
竊自惟念幸祭明時漸無補報輙不自揆取先正二書校正編摩增入外紀一卷凣若干卷名曰大越史記全書,ế ự  ệ ạ ế  ờ ề ô ổ á ế ấ ự ỹ ủ ê í ị ư ệ í ê  ă ậ ạ ỉ ấ ể à ượ  ể  ế đạ ệ ử í à ư
事有,ự ữ 
遺忘者補之例有未當者正之文有未安者改之間有𦎍惡可以勸懲者贅鄙見於其後,  ả ổ  ệ ữ ị đá ả í  ă ữ ị  ả ả   ữ ệ á ả ĩ ê ừ ả ế ỉ ế ư ì ậ
極知僭妄罪無所逃然職在當為不敢以才識謭陋為辭,ự  ế ọ ộ ô ở đà ê ứ ạ đươ  ấ ả ĩ à ứ ễ ậ  ừ
謹編定成書留之史舘,ẩ ê đị à ư ư  ử á
雖未能公是於萬年猶足資󰏲考之一助云, ị ă ô ị ư ạ ê  ú ư ê ả  ấ ợ â
洪德十年歳在己亥冬至節,ồ đứ ậ ê ế ạ ỉ ợ đô í ế
賜大寶壬戌科同進士禮部右侍郎朝列大夫兼兼史官修𢮪吳士連序,ứ đạ ả â ấ  đồ ế ĩ ễ ộ ữ ị  ề ệ đạ  ê ố ử á ư ệ ê ử   ạ ô ĩ ê ự
擬進大越史記全書,ĩ ế đạ ệ ử í à ư
禮部右侍郎朝列大夫兼國子監司業兼史官修撰臣吳士連兹者伏𫎇聖恩除臣舘職臣取前大越史記二書參以野史輯成大越史記全書謹謄為十五卷奏進,ễ ộ ữ ị  ề ệ đạ  ê ố ử á ư ệ ê ử   ạ ầ ô ĩ ê ư ả ụ ô á â ừ ầ á ứ ầ ủ ề đạ ệ ử í ị ư  ĩ ã ử ậ à đạ ệ ử í à ư ẩ đằ  ậ ũ ể ấ ế
臣吳士連成惶誠恐󰏲首頓首上言伏以,ầ ô ĩ ê à à à ủ ể ủ đồ ủ ượ ô ụ ĩ 
文風大振適當景運之興史筆重修載纂歷朝之紀,ă  đạ ấ í đươ ả ậ  ư ử ú ù  ả ả ị ề  ỉ
俯殫管見󰱆達隆知,ủ đ ả ế ố đạ  
臣竊惟古有信書國之大典所以紀國綂之離所以明治化之隆污,ầ ế  ổ ữ í ư ố  đạ để ở ĩ ỉ ố ố   ợ ở ĩ  ị á   ô
盖欲垂監戒於将來𡸈特著幾徵於既徃,á ụ ỳ á ớ ư ươ  ở đặ ướ ỉ ư ư í ã
必善惡具形褒貶始足示於勸懲,ấ ệ á ụ ì  ế ỷ ú ị ư ế ừ
必翰墨久役心神方可觀於著述非苟作者𡸈易言哉,ấ à ặ ử ị â ầ ươ ả  ư ướ ậ  ẩ á ả ở ị ô 
鷖大越史記之書載前代帝王之正, đạ ệ ử í  ư ả ề đạ đế ươ  í
粤肇南󰘊之繼嗣實與北朝而抗衡,ệ ệ    ế ự ự ữ ắ ề   à
綂緒之傳億萬年與,ố ự  ề ứ ạ ê ữ 
天罔極英明之君六七作于古有光,ê õ ự    â ụ ấ á  ổ ữ 
雖強弱時或不同而豪傑世未嘗乏, ườ ượ ờ ặ ấ đồ  à ệ ế ị ườ ạ
觀之在昔厥有可󰏲,  ạ í ế ữ ả ê
吳氏以前慨亂多而治少李氏而後漸世变以風移,ô ị ĩ ề á ạ đ  ị ể ý ị  ậ ề ế ế ĩ  
夫極治者亂生而履霜者氷至,ù ự ị ả ạ   ý ươ ả ă í
賊臣因之盜㨿敵國以是來侵,ặ ầ â  đạ ứ đị ố ĩ ị  â
满地干戈莫匪狂明之㓂一國圖籍翻為洁劫之灰,ã đị   ạ ỉ ồ   ấ ấ ố đồ ị ê  ế ế  ô
欲求事跡於煨烬之餘難免是非於亥豕之辨,ụ ầ ự í ư ổ ẫ  ư  ễ ị  ư ợ ỉ  ệ
於皇昭代思釆陳編下明詔以購求蒐散書而萃集,ư à ê đạ ư á ầ ê ạ  ế ĩ ấ ầ ư á ư  ỵ ậ
既命朝士檢閲討論又,í ệ ề ĩ ể ệ ả ậ ự 
勑儒臣縂裁潤色,ắ  ầ ổ à ậ ắ
務兹簡實捐彼浮華,ụ ư ả ự ê ỉ ù 
臣當直舘之初得預濡毫之列,ầ đươ ự á  ơ đắ ự  à  ệ
倐遭家禍莫覩成書,ú   ạ ạ đổ à ư
念夙志之未酧釆羣言而增校,ệ ú í  ị ù á ầ ô  ă ệ
僃歷代君臣之蹟明古今治亂之原,ị ị đạ â ầ  í  ổ  ị ạ  ê
歳周於上而天道明統正於下而人紀立,ế  ư ượ  ê đạ  ố í ư ạ  â ỉ ậ
以至禮樂征伐與夫制度紀綱莫不正其謬訛補其闕畧,ĩ í ễ ạ  ạ ữ  ế độ ỉ ươ ạ ấ í ì ậ  ổ ì ế ượ
間有䦕於風化附臆説以𭛁明, ữ  ư  á ụ ứ ệ ĩ á 
名曰大越史記全書增入鴻庞蜀王外紀總若干卷今已成編, ế đạ ệ ử í à ư ă ậ ồ à ụ ươ ạ ỉ ổ ượ  ể  ĩ à ê
效馬史之編年第慚補綴法麟經之比,ệ ã ử  ê ê đệ à ổ ế á â   ỉ 
事敢望謹嚴,ự ả ọ ẩ ê
但於彜倫日用之常與其致知格物之學嘗於燕暇少僃覽觀,đã ư  â ậ ụ  ườ ữ ì í  á ậ  ọ ườ ư ế ạ ể ị ã 
傳信傳疑期汗青之無愧繁辝繁事庶文献之足徵,ề í ề  ì ã   ô ồ ồ ừ ồ ự ứ ă ế  ú ư
臣吳士連下情無任瞻天仰聖激切屏營之至謹装潢成帙封全隨表上進以聞,ầ ô ĩ ê ạ ì ô ệ ê ê ưỡ á í ế ì   í ẩ  à à ậ  à ỳ ể ượ ế ĩ ă
洪德十年歳在己亥冬至節,ồ đứ ậ ê ế ạ ỉ ợ đô í ế
篡修大越史記全書凣例,á  đạ ệ ử í à ư à ệ
一是書之作本黎文休潘孚先大越史記二書參以北史野史傳至諸本及所傳授見聞考技編輯爲之,ấ ị ư  á ả ê ă ư   ê đạ ệ ử ý ị ư  ĩ ắ ử ã ử ệ í ư ả ậ ở ề ụ ế ă ả ĩ ê ậ  
其記始於吳王者王我越人當南北分争之時䏻󰈫亂興󰘊以繼䧺王趙武之統故也今依武瓊所󰖠著本紀全書水自丁先皇以明其大一統也,ì í ỷ ư ô ươ ả ươ ã ệ â đươ  ắ â   ờ ă á ạ ư  ĩ ế ù ươ ệ ũ  ố ố ã   ũ ỳ ở ậ ướ ả ỉ à ư ự đ ê à ĩ  ì đạ ấ ố ã
一歷代帝王在位久近前帝前王於某年創業以是年爲在位之首年至某年崩薨禪讓或弑後帝後王即位改元則是年猶爲前帝前王在位,ấ ị đạ đế ươ ạ ị ử ậ ề đế ề ươ ư ỗ ê á ệ ĩ ị ê  ạ ị  ủ ê í ỗ ê ă ă ề ượ ặ í ậ đế ậ ươ ứ ị ả ê ắ ị ê   ề đế ề ươ ạ ị
之末年, ạ ê
其或崩薨禪讓在某年之春夏則是年爲後帝後王在位之首年而春夏之月爲前帝前王之奇零月如崩薨禪讓在嵗終逆數在位之年猶有不盡之月亦爲奇零月,ì ặ ă ă ề ượ ạ ỗ ê  â ạ ắ ị ê  ậ đế ậ ươ ạ ị  ủ ê  â ạ  ệ  ề đế ề ươ  ì  ệ ư ă ă ề ượ ạ ế  ị ố ạ ị  ê  ấ ậ  ệ ệ  ì  ệ
至若楊日禮僣位雖已逾年然陳家曆數猶相接故以前年属裕宗後年属藝宗而通計焉附録日禮,í ượ ươ ậ ễ ế ị ĩ  ê ê ầ  ị ố  ươ ế ố ĩ ề ê ộ ụ ô ậ ê ộ ệ ô  ô ế ê ụ ụ ậ ễ
一涇陽王爲大越始封之王與帝宜同時故紀元與帝宜初年同,ấ  ươ ươ  đạ ệ ỷ   ươ ữ đế  đồ ờ ố ỷ ê ữ đế  ơ ê đồ
一外紀所載本之野史其甚恠𧩙者?之不録,ấ ạ ỉ ở ả ả  ã ử ì ậ á đả ả   ấ ụ
䧺,ù
䧺王以上無年表者世主傳序不可得而知也或云十八世恐未必然,ù ươ ĩ ượ ô ê ể ả ế ủ ề ự ấ ả đắ   ã ặ â ậ á ế ủ ị ấ ê
一趙紀當北朝漢高惠文景之世以建亥爲嵗首者庶考之朱子綱目不爲謬矣,ấ ệ ỷ đươ ắ ề á  ệ ă ả  ế ĩ ế ợ  ế ủ ả ứ ả   ử ươ ụ ấ  ậ ĩ
一每年甲子之下分註止書曆代繼正統者其餘列國不書無接我也,ấ ỗ ê á ý  ạ â ú ỉ ư ị đạ ế í ố ả ì ư ệ ố ấ ư ố ế ã ã
如吳魏南漢事有接我則書某主,ư ô ỵ  á ự ữ ế ã ắ ư ỗ ủ
一凣紀本事而涉前後事本事大書前後事分註庶得耳見無遺,ấ à ỷ ả ự ị ệ ề ậ ự ả ự đạ ư ề ậ ự â ú ứ đắ ĩ ế ô 
一北朝歷代主皆書帝與我各帝一方也,ấ ắ ề ị đạ ủ  ư đế ữ ã á đế ấ ươ ã
一凣我越人憤北人侵暴因人心甚惡攻弑郡守以自立皆書起兵稱國,ấ à ã ệ â ẫ ắ â â ạ â â â ậ ố ô í ậ ú ĩ ự ậ  ư ở  ư ố
不幸而敗亡者亦書起兵以予之,ấ ạ  ạ  ả ệ ư ở  ĩ ư 
一士王之時雖有守任然王以諸侯當國國人皆呼爲王守任徒爲虚設而王之貴重威服百蠻不下趙武後代追封王爵故表而出之𭁈諸王同,ấ ĩ ươ  ờ  ữ ú ệ ê ươ ĩ ư ầ đươ ố ố â  ô  ươ ú ệ đồ  ư ế  ươ  ý ọ  ụ á  ấ ạ ệ ũ ậ đạ   ươ ướ ố ể  ấ  ữ ư ươ đồ
一前後李南帝乃當時稱號非真即皇帝位故生,ấ ề ậ ý  đế ư đươ ờ ư ệ  â ứ à đế ị ố 
則書帝沒則書薨從諸侯例,ắ ư đế ộ ắ ư ă ò ư ầ ệ
一趙越王時李天寳雖稱王立國然其迹微國統已属趙王故附錄于趙紀,ấ ệ ệ ươ ờ ý ê ả  ư ươ ậ ố ê ì í  ố ố ố ĩ ộ ệ ươ ố ụ ụ  ệ ỷ
一布蓋王豪富勇力亦一時之䧺,ấ ố á ươ à ú ũ ự ệ ấ ờ  ù
